experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
b5246fefc957,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,10.59,5.2947,0.0,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," product development” in order for Allo to focus on improving its functionality and improving user experience.

Allo was first announced back in February of 2016, but was just officially announced in May of that same year. The service was available on a small number of smartphones for a limited peri",
6057c42ba0c2,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,4.57,7.1204,0.0,1,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested."," This 3 bed, 1.5 bath home sits on 1/2 acre with a large covered and shaded back porch.

Price

Price:$209,000

Subdivision: The Oaks

County:
Bass

Beds: 3

Baths: 1 Full/1 Three/1 Half

Sq ft:1,564 (approx)

#: L293538

Status: Closed

Description

Two bedrooms home on a corner lot. Two car detach",
c56ad8da85c4,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,14.13,7.1204,0.0,1,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years," old and sometimes not updated. I'm hoping that an upgrade in a year will fix the issue.  The laptop I have now is working fine and has a nice upgrade in my heart in a year.
Thanks for posting.  As for updating the drivers, I am unsure if Asus does that in a timely manner.  I will have a chat with A",
e555f6bb2043,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,10.77,4.7469,1e-06,1,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it"," was a top down side-scrolling platformer.

If you're a huge Mega Man fan and have been looking forward to this special X & Y Mega Man game, you're in luck. Mega Man 10 releases on December 19 on Nintendo 3DS, Android, and iOS in Japan, with a version for PS4 and PS Vita announced. I think I've seen",
bc91f91b1bb5,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,12.2,8.581,0.0,1,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS"," ONE WHOLLY BUILDING. LOTS INCLUDES AN AREA FOR PARKING. LAND, HILLS, AND POOL ARE GREAT FOR RIVALS AND PARTIES.

Glorie House

Nestled in a prime spot in The South End neighborhood, This home offers amazing views, a spacious kitchen and cozy living room with fireplaces and hardwood floor. The gourm",
a16978cd41b7,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,8.52,7.4855,0.0,1,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and"," Marian Krause, and his brother Dirk Krause.

Mr. Krause had worked in the Netherlands, South Africa, and Hawaii. He enjoyed boating, and was a carpenter.

The family suggests that contributions be made in Mr. Krause's name to the West Island Boys and Girls Club, 1740 Kamehameha Highway, Honolulu, H",
22a8cf4363e6,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,13.2,6.2075,0.0,1,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a"," anti-poverty activists and activists in Israel, Mexico, and the United States, confronted U.S. and Canadian corporate war and imperialist violence in a New Year's Day event.

In a discussion moderated by activist and anti-imperialist scholar, journalist, and filmmaker, Mamdouh Hassan, speakers emph",
b7b7295bbf37,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,7.2,4.0166,3e-05,1,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST. The Rams advanced to, the NFC Championship with a 34-30 win over the Minnesota Vikings. Quarterback Jared Goff lead the Rams to a 13-3 regular season record. The Patriots won the AFC East with a 10-6 record. This will be Tom Brady’s 13th Super Bowl appearance. Patriots and Rams will play in the second half. The winner w,
6ff908b8e5e4,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,13.83,5.8424,0.0,1,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the"," studio to put their views on a number of football topics in a roundtable conversation.

We also go through all of that week's Premier League games and a couple of international clashes, including England versus France, with a special mention for both Wales and Albania.

Get in on Friday for a brand",
b07ddf5db3cf,facebook/opt-1.3b,UNIGRAM,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,13.56,5.1121,0.0,1,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more. The hotel"," these amenities in addition to a full service spa, fitness and wellness center and restaurants.

In The Land of Smiles, there are a number of ways to pay homage to the world’s best resorts. The Luxe Report’s Luxe Travel Survey polled 1,000 advisors and found that travelers are increasingly choosing",
