experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
37d79ffdb3f8,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,96,24.22364616394043,6.264761093297201,1.8669871664298563e-10,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in,"Google's advertising service, Google Docs “- started offering subscriptions directly to customers to get e-mail addresses, text messages, and data for free shortly after its launch. The announcement coincided with the release of the last Google blog post on the ""Fully Charged"" deal with Microsoft for its acquisition of Bing.

When asked by Business Insider about the decision to cease investment, Bharara said there is ""nothing at this point about any direct business decision"" by the company to sh",
3eb23d9a1534,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,82,31.417221069335938,7.205350722657424,2.8947319139450824e-13,1,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.","Call for a thorough checkup.

Seller's Borrower Contact

(613) 768-1774 - ""You know that I do understand that you owe me some financial debt."" Referrer: Gary A. Schneider

(613) 768-1774 Contact List Detail

Items

When selling or leasing or trading or leasing or renting or renting or transferring or any business for personal or professional use without authorization of Seller, please note that Seller makes certain business arrangements expressly forbidden nor recommended by or in consultation w",
1f38b9751a15,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,92,35.395023345947266,6.88297861148795,2.930691547012637e-12,1,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years,"old. In case anybody is curious, my Dell Precision display 1/4X is compatible with this eGPU. So I hope the uppersite list contains the last driver that supports the nvidia card, you get the best possible experience. I've made a thorough look at this forum, I know alot about this motherboard builder forum and some of its products, but I won't give an update on how the BIOS for some products work. If any of you know/should know this motherboard builder forum, please let me know: nVidia (ATI) GTX ",
4aa5a1a30355,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,94,19.002500534057617,4.394941540751774,5.54012841254719e-06,1,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it","was called Guilty Gear Saga, then Guilty Gear Saga 2, and then the Guilty Gear Saga DLC on Playstation Vita. So needless to say, you can certainly guess which Guilty Gear Saga installment it was. Well, you get the picture.

Gravity Rush.

The game was created by GameRadar as Guilty Gear: The Final Mix DLC. It also is based on previous games on Guilty Gear, Guilty Gear: Shadow of the Labyrinth, and SEGA's Street Fighter V Brawl. Guilty Gear Saga features three different ""guiding"" segments to get ",
462b52914666,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,47,32.352535247802734,9.023054894290532,9.145793076398149e-20,1,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS","A GIFTSBOOK FOR ANYONE WHO SEEMS HARD TO MEAPHATCHELY SUCH A MULTI SUIT FOR ANYONE WITH COMPLETIONAL REASON, NO MORE COMFORTED WIDE PANELS FOR MUCH OF OUR WORK!!!!


BUILD YOUR MATERIAL OVERALL MULTI UNITS


BUILD YOUR MATERIAL OVERALL MULTI UNITS MULTISLATIVE (ALLOWS UTPOE MATERIAL/PALMITHM-FREE SEPARATELY)


IMPORTO:

UTPO",
029777d0e5e5,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,85,18.578710556030273,7.340544543733891,1.0636327932995681e-13,1,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and","Doris Pfeil, grandparents Frances and Patricia Kronstadt.

Detectives were notified shortly afterwards of the fatal fall, which occurred on Oct. 16, 2005, at the site where Suh was last seen driving southbound on Oahu Avenue when she went 60 miles per hour eastbound on Kona Street.

On Christmas Day, the police reported receiving numerous tips about the alleged robbery and death of 43-year-old Suh.

Police said Suh was driving southbound while she headed northbound on Kona on Oahu Avenue when th",
aaf9cb2e2776,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,27,68.79621887207031,3.386303328742005,0.00035420516874292985,0,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a","support groups working to oppose the apartheid legislation in South Africa and Zimbabwe. Additionally, groups support Western colonialism wherever it exists regardless of race or religion. ☊",
d07907f23bc4,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,94,12.145285606384277,4.946955133347247,3.7691671437445506e-07,1,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST. The Rams advanced to,"the NFL championship game, but then defeated the Colts 12-1 last week in New Orleans.

""We're looking forward to the opportunity to continue our tradition of excellence when we return to the NFL championship game,"" NFL Commissioner Roger Goodell stated. ""When we are back in Indianapolis, there is no shortage of talented and passionate sports fans visiting our stadium. Colts fans will have great memories of our Super Bowl experience in New England at this venue.""

The team's home game at Foxborou",
d0fbddb737a9,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,83,36.443756103515625,6.394251345864488,8.066792844600397e-11,1,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the","peloton trying to lead the team round. This is a great month to be a part of. Here he is, from his fantastic Sky Sports page.

Dayboy News: Floyd Copley, Garmin-Barré-Sciotey - Stage 1 Daydream Classics

Fulham's new Simon Gerrans Racing peloton have turned their attentiveness to Daydream Classics - Stage 1 in Rio de Janeiro. Five-time world champion Peter Sagan has endured serious concerns over the race from peloton chief Brian Valgren last week, whose position is directly responsible for the c",
9f5dc279e032,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,75,9.34150218963623,6.226438071299838,2.385793527042885e-10,1,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more. The hotel","extensive photography programs through online documentation and award award nominated travel advisories.

Top Five Cities to Visitor Train Accommodations

Boston — 41 metropolitan and 1 quadrangle Accommodations award nominated amenities

Maine — 41 metropolitan Accommodations award nominated amenities

Maine — 35 metropolitan Accommodations award nominated amenities

Maine — 34 metropolitan Accommodations award nominated amenities

Maine — 31 urban Accommodations award nominated amenities

Tole",
9d5e2c4c0df4,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,47,27.09833526611328,4.454857957760775,4.197437776328427e-06,1,"If you want to succeed, don’t look back. skills in drawing and painting, I took notice. game, is the utter lack of compromise to the vision they are pursuing. eyes",", the way they are looking at the game. It really annoys me how their ideas get pulled too far, trying to feed somebody just ""because you know the style of the game and you are a fan"" and nothing gets done. haha.

Reply · Report Post",
2391d13998e8,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,82,16.640295028686523,6.308306037935103,1.4105298865342317e-10,1,"CAPE CANAVERAL, Fla. (AP)  SpaceX has launched a used supply ship on a used rocket to the International Space Station. It’s the second trip to the orbiting lab for","the first mission of its type on the U.S. space agency's (USCIS) first commercial mission, the crewed orbital cargo mission.

This mission looks for the International Space Station while carrying astronauts to Mars.

___

5:45 p.m.

The National Oceanic and Atmospheric Administration is launching its ocean survey of south eastern North Carolina, calling it the closest in NOAAís range to the U.S. Coast Guardís (NSW), declaring its intention to conduct land survey of ocean on Saturday.

The projec",
7994543618d9,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,66,28.300535202026367,7.613216500514613,1.336786912943959e-14,1,"Well, it looks like the Golden State Warriors will just have to make due with four All-Stars on their team and not potentially five. Portland Trail Blazers&apos; All-Star point guard","Damian Lillard are top ten selections!!!!


Portland guard Kristaps Porzingis (@KristapsPony) wants #NBA superstar Damian Lillard to stay and play the game for the Celtics last night, knowing that he'll never put anything into frontcourt. #DvLApic.twitter.com/m43K6G4Gw8 — Damian Dyer (@Dennis_Dyer) November 3, 2016

Oh come on guys! We know he loves Kobe!!!!


Mockument to Blazers!!!! I'd like to mention that you guys have absolutely NO idea",
3cec5936ca81,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,97,29.301315307617188,7.9336792645396,1.0637355169010104e-15,1,"Google Music hasn’t been making a lot of noise lately and is, in some ways, in danger of being overshadowed by other cloud music sites. But the Internet giant has","put plenty of time, energy and effort into making music more relevant for nonusers, says Eric Migicovsky, a Spotify senior vice president and chief executive officer and senior vice president for commercial strategy for Spotify's Motion Picture Music Business. ""As much as we love Spotify revenue generation ․ Spotify is making a huge market out of it ․and if you look at the company's revenue per per user (API) for some time, you'll see Spotify at the top of the map and top of nowhere   as well."" ",
f54dd5c9914e,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,89,18.848913192749023,5.731260526428392,4.984350748690595e-09,1,"... as the iPhone chips away at RIM dominance | City A.M. STANDARD Chartered is replacing the BlackBerry, currently its standard corporate communications device, with the iPhone, a move that","would keep its handset, the much-vaunted HMD, up to date and competitive

In the wake of the financial crisis, RIM has long maintained its dominant position on the phone market.

But last year's investment is likely to bear down once Apple has departed from the hardware business and a number of incumbents have departed from the Android phone space – namely HTC and Motorola.

RIM shares fell 0.8 per cent lower at 40.01 euros on Wednesday trading at $53.04 at 7.38 GMT on Wall Street. Last week, wh",
b734ed375753,gpt2,GPW_SP,"alpha=3.0, omega=1.0, z_threshold=4.0",generated_watermarked,Clean,N/A,89,28.2863826751709,6.194521751984542,2.9231133617589245e-10,1,EXCLUSIVE: 100 Questions creator Christopher Moynihan has inked a two-script deal with ABC Studios to write and executive produce two comedy projects for the studio. The projects will be co-produced,"by Moynihan, Jada Pinkett Cooke-Murray (""Scandal"") and Evan Roylich (""Homeward Bound""). ""We're looking forward to the possibility of directing works whose script has never been written,"" Moynihan told Business Insider. ""We've heard from business partners, fans, and even some actors and producers who haven't spoken up about their scripts and felt intimidated because when we said, 'Okay, but this is something that obviously could get done,' it meant it would be a real business partner to know exac",
