sample_id,prompt,original_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
0,Google has announced that it will be shutting down its smart-messaging service Allo which it launche," this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the service is winding down.

Allo, a version of Mess","this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the avail is twist down. Allo, a version of Courier cr",5.294651389216606,4.2727272727272725,True,True,120,3.191418409347534,0.001678466796875,0.0013921260833740234
1,Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will no," The property needs paint, interior and exterior carpet and floor, some interior painting and light fixtures.

School Information

Description

Two bedrooms home on a corner lot. Two car detached gara","The property needs paint, interior and exterior carpet and floor, some DoI house painting and light fixtures. School Information Description Two bedrooms home on a box lot. Two car detached garage. Ni",3.468909530866052,2.496150883013531,False,False,120,2.9271726608276367,0.0010406970977783203,0.0007550716400146484
2,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The onl," back. I have a ASUS XG270HK and am looking forward to installing the latest display drivers with a usb driver.   Thanks.
Sadly I have not seen any updates on that front. I've tried asking the XG user",back. I have a ASUS XG270HK and Master of Arts look forward to installing the latest display drivers with a usb driver. Thanks. Sadly I have not seen any update on that front. I've tried request the X,6.691899028305943,4.310527248642598,True,True,119,2.8579628467559814,0.0008835792541503906,0.0007686614990234375
3,Do you remember the game from this fragment of box art? Leave your answer in the comments! For those," was a sequel to The Godfather Part I.

Advertisement

Back in 2005, The Godfather Part I beat The Godfather Part II into first place on the Best Seller list. The next year, The Godfather Part I was r","Washington deoxyadenosine monophosphate sequel to The Godfather Constituent I. Advert Back in 2005, The Godfather Section I beat The Godfather Constituent 2 into first place on the Best Seller list. T",8.580986734247602,7.251743670286615,True,True,120,2.868281602859497,0.0011456012725830078,0.0006661415100097656
4,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN "," PART OF AN INTERSECTION.

LOT #1

PRICE $5,000.00

RIGHT TO RENEW. This section is already being worked on and will have 4 lots. Buyer will have the right to renew.

LOT #2

PRICE $1,000.00

PRIVATE ","PART OF AN INTERSECTION. Great deal #1 PRICE $5,000.00 RIGHT TO RENEW. This section is already existence worked on and testament have 4 lots. Emptor will have the right to renew. LOT #2 PRICE $1,000.0",7.12039324756716,3.025290226140453,True,False,120,3.0187253952026367,0.0009982585906982422,0.00067901611328125
5,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born i"," Adele Krause.
In lieu of flowers, donations may be made in Bob's name to Heartland Hospice.
Funeral arrangements are in the care of Konecranes Kapahulu Chapel.","Adele Krause. In lieu of flowers, donation may be made in Bob's gens to Heartland Hospice. Funeral transcription are atomic number 49 the care of Konecranes Kapahulu Chapel.",2.7136021011998728,1.3416407864998738,False,False,44,0.9833617210388184,0.0006229877471923828,0.0004374980926513672
6,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. "," labor, student, and Palestinian groups, are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights in an Occu","labor, student, and Palestinian groups, are holding deoxyadenosine monophosphate subject group discussion in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense o",7.6681158050723255,5.874269508076824,True,True,120,3.0020859241485596,0.001096963882446289,0.000766754150390625
7,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The ," the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon.

For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a video of Tom Bra","the Superintendent Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon. For many fans, the Los Angeles native’s performance was considered phenomenal. I viewer tweeted a video of To",5.8423739467217715,5.057932103671849,True,True,120,2.910489082336426,0.0010492801666259766,0.0006442070007324219
8,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything"," hotseat.

Listen below - and for a full, unproduced script, please follow the instruction provided on your welcome packet.

Show Notes:

This podcast episode was filmed back in December. The above li","hotseat. Listen below - and for antiophthalmic factor full, unproduced script, please follow the instruction provided on your welcome packet. Appearance Notes: This podcast instalment Evergreen State ",9.128709291752768,6.875238727711585,True,True,120,2.945613145828247,0.0011456012725830078,0.0007126331329345703
9,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking t"," a private helicopter with a driver that will take guests around Dubai.

The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and steam room. It a","a buck private helicopter with a driver that will take node around Dubai. The resort also offers angstrom unit spa that features a hammam, sauna and steam room that ar connected to vitamin A hot pool ",7.850689990907381,6.15643073089126,True,True,120,2.9704782962799072,0.0009026527404785156,0.0007185935974121094
