sample_id,prompt,original_text,human_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
0,June Kelly was awarded an MBE for her work coaching children in the local area and starting up footb, after being unable to find a suitable football club for a young boy in Tynemouth. She has won international football awards and won gold in the 2007 European Championship for women. She is now a well,"Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago.
The decision comes after the company “paused investment in Allo” earlier ",Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in Allo” earlier ,7.12039324756716,-1.03209369308428,True,False,120,3.619018316268921,0.0026781558990478516,0.0009191036224365234
1,A motorcyclist who claimed he was returning the bike to a friend was caught riding without a licence," after a motorist raised alarm on a busy North Warwickshire Parkway.

Mr Clarke, a driver for a company that supplies electrical and industrial products, claimed he had picked up his friend in an effo","Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested. The property is so","after a motorist raised alarm on a busy North Warwickshire Parkway. Mr Clarke, a driver for a company that supplies electrical and industrial products, claimed he had picked up his friend requested. T",5.477225575051661,2.1263507521967115,True,False,120,2.906911611557007,0.0017108917236328125,0.0007688999176025391
2,A New Hampshire man yelled profanities as he faced charges in a courtroom Tuesday after police say h, was arrested after officers with a New Hampshire Fish and Game police unit caught him while working in a ditch with an excavator. Officers with New Hampshire Fish and Game responded to a report of a ,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years behind and new features for both g,was arrested after officers with a New Hampshire Fish and Game police unit caught him while working in a ditch with an excavator. Officers with New Hampshire Fish and Game and new features for both gr,6.7552448758970485,1.4,True,False,120,2.8771448135375977,0.0010862350463867188,0.0006158351898193359
3,At least 14 people were killed after a suicide bomber detonated explosives inside a mosque in the to," have reported.

""We know that a large number of people died in the suicide bombing in Gamboru. It happened while worshippers were praying,"" a member of a Civilian Joint Task Force based in Mubi, on C","Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it was Afro Samurai. Pow!
""...it was Afro ","Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it was Afro Samurai. Pow! ""...it was Afro ",6.390096504226938,1.3867504905630728,True,False,120,2.88504695892334,0.0007987022399902344,0.0005278587341308594
4,Nashville clothing designers will have some stiff competition this year. Children from Monroe Carell," their very own store with clothes that included a red velvet chair and pink flamingo.

According to designer Lisa Jackson, the idea for these clothes was born in a playpen at Monroe.

The store featu","4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS A PACKAGE WITH ALL 4 LOTS. DEVELOPERS, THIS IS A WONDERFUL OPPO","4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT was born in a playpen at Monroe. The store features over 40 unique kids' items. The hospital was also re",5.940885257860046,3.891547782585246,True,False,102,2.377228260040283,0.0007574558258056641,0.0005104541778564453
5,"""Liz Lemon Greek Frozen Yogurt"" has hit the shelves. But what if ALL the 30 rock characters had thei"," Fried Turkey Dinner""  I feel like my mom and I would eat this shit up.
That last one was me. I ate that shit up. I never made any money but I was proud of myself. I made my mom eat that shit up too. ","Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and Sonja Aiwohi, brother Ralph and sisters","Fried Turkey Dinner"" I feel like my mom and I would eat this shit up. That last one was me. I ate that shit up. I never made any money but Hans Krause and Sonja Aiwohi, brother Ralph and sisters Lorra",9.128709291752768,2.4370871833797696,True,False,120,3.046755075454712,0.0006890296936035156,0.0006151199340820312
6,ANTONIO CONTE will decide if John Terry has a future at Stamford Bridge after a face-to-face meeting," on Monday, with Chelsea also confirming that Antonio Rüdiger will join Antonio Conte’s coaching staff. Conte was Chelsea’s caretaker boss after Jose Mourinho was sacked just over a month ago, and on ","At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a","on Monday, with Chelsea also confirming that Antonio Rüdiger will join Antonio Conte’s coaching staff. Conte was Chelsea’s caretaker boss after Jose Mourinho was sacked just over a month ago, Antiwar ",3.6514837167011076,1.6867605906952476,False,False,120,2.9532575607299805,0.0007290840148925781,0.0006740093231201172
7,"Both victims died at the scene at a Kroger grocery store on the outskirts of Louisville, Kentucky. T"," the shootings.

“I just feel like God has put a purpose in my heart for healing and a purpose in my heart for forgiveness,” Thomas, 30, told a reporter.

Thomas was released from jail on Sunday and w","Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST.
The Rams advanced to the Super Bowl following a thrilling, 2","the shootings. “I just feel like God has put a purpose in my heart for healing and a purpose in my heart for forgiveness,” Thomas, 30, told a to the Super Bowl and its first since the 2001 season when",6.7552448758970485,1.4504813352456845,True,False,120,2.858198642730713,0.0007524490356445312,0.0006978511810302734
8,Emma Smith is an analyst at the Council on Foreign Relations' Center for Geoeconomic Studies. She co," after leaving a country. Rather, they sometimes linger on in unexpected places. So, as a rule, do they disappear within a decade?

In a 2005 paper that I recently read, “International Trade in Goods,","It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything.
AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the pod to discuss a stonking w","It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the pod to discuss a stonking w",5.477225575051661,-0.07692307692307693,True,False,120,2.9967517852783203,0.0007464885711669922,0.0007021427154541016
9,"An European International School in Dubai (French and German bilingual) is seeking Native French, Ge","/TET qualifications and teaching experience in International/Bilingual Schools.

An International Educational Association in Dubai is looking for a talented, hard-working, multi-cultural, bilingual an","Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more.
The hotel","/TET qualifications and teaching experience in International/Bilingual Schools. An International Educational Association in Dubai is looking for a talented, hard-working, multi-cultural, bilingual and",6.390096504226938,3.891547782585246,True,False,120,2.940714120864868,0.0007717609405517578,0.0005171298980712891
