sample_id,prompt,original_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
0,Google has announced that it will be shutting down its smart-messaging service Allo which it launche," this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the service is winding down.

Allo, a version of Mess","this product,” a spokeswomaxn for the company said in an email to the AP. Sh did not disclose any reasons behind the shutdown, but explained that the service is winding down. Allo, a version of cMesse",5.294651389216606,3.846036921299638,True,False,120,3.38283371925354,0.001964569091796875,0.0006122589111328125
1,Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will no," The property needs paint, interior and exterior carpet and floor, some interior painting and light fixtures.

School Information

Description

Two bedrooms home on a corner lot. Two car detached gara","The property needs paint, interior and exterior carpet and floor, some interior painting and light fixtures. School Information Description Two bedrooms home on a corner lot. Two cwar detached garage.",3.468909530866052,2.183063390230748,False,False,120,2.866190195083618,0.0012865066528320312,0.0005435943603515625
2,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The onl," back. I have a ASUS XG270HK and am looking forward to installing the latest display drivers with a usb driver.   Thanks.
Sadly I have not seen any updates on that front. I've tried asking the XG user",back. I have a ASUS XG270HK and am looking forward to installing the latest display drivers with a usb driver. Thanks. Sadly I have not seen any updates on that front. I've tried asking the XG users o,6.691899028305943,5.199469468957452,True,True,119,2.8624000549316406,0.0009226799011230469,0.0005133152008056641
3,Do you remember the game from this fragment of box art? Leave your answer in the comments! For those," was a sequel to The Godfather Part I.

Advertisement

Back in 2005, The Godfather Part I beat The Godfather Part II into first place on the Best Seller list. The next year, The Godfather Part I was r","was a sequel to The Godfather Part I. Advertisement Back in 2005, The Godfather Part I beat The Godfather mPart II into first place on the Best Seller list. The next year, The Godfather Part I was rei",8.580986734247602,7.98489954161323,True,True,120,2.8626246452331543,0.0012981891632080078,0.0005369186401367188
4,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN "," PART OF AN INTERSECTION.

LOT #1

PRICE $5,000.00

RIGHT TO RENEW. This section is already being worked on and will have 4 lots. Buyer will have the right to renew.

LOT #2

PRICE $1,000.00

PRIVATE ","PART OF AN INTERSECTION. LOT #1 PRICE $5,000.00 RIGHT TO RENEW. This sectiob is already being worked on and will have 4 lots. Buyer will have the right to renew. LOT #2 PRICE $1,000.00 PRIVATE TO BUY.",7.12039324756716,4.236915896106461,True,True,120,3.0249581336975098,0.0008089542388916016,0.00048804283142089844
5,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born i"," Adele Krause.
In lieu of flowers, donations may be made in Bob's name to Heartland Hospice.
Funeral arrangements are in the care of Konecranes Kapahulu Chapel.","Adele Krause. In lieu of flowers, donations may be made in Bob's namej to Heartland Hospice. Funeral arrangements are in the care of Konecranes Kapahulu Chapel.",2.7136021011998728,1.372487132993442,False,False,44,0.9935266971588135,0.0008955001831054688,0.00038361549377441406
6,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. "," labor, student, and Palestinian groups, are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights in an Occu","labor, student, and Palestinian groups, are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights in an Occup",7.6681158050723255,7.184212081070997,True,True,120,3.0112178325653076,0.0014774799346923828,0.0005593299865722656
7,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The ," the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon.

For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a video of Tom Bra","the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon. For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a video of Tom Brady",5.8423739467217715,4.971102936650946,True,True,120,2.9134199619293213,0.001062631607055664,0.0004868507385253906
8,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything"," hotseat.

Listen below - and for a full, unproduced script, please follow the instruction provided on your welcome packet.

Show Notes:

This podcast episode was filmed back in December. The above li","hotseat. Listen below - and for a full, unproduced script, please follow the instruction provided on your welcome packet. Show Notes: This podcast episode was filmed back in December. The above links ",9.128709291752768,8.082903768654761,True,True,120,2.9404256343841553,0.0010180473327636719,0.0005419254302978516
9,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking t"," a private helicopter with a driver that will take guests around Dubai.

The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and steam room. It a","a private helicopter with a driver that will take guests around Dubai. The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and hteam room. It als",7.850689990907381,6.236413804652249,True,True,120,2.991373300552368,0.001154184341430664,0.0004870891571044922
