experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
e38364f81a92,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,105,19.17728042602539,6.674238124719146,1.2425990733701264e-11,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," its current network for quite some time, and which was being criticized for being ""too intrusive"".

While Facebook has reportedly been working to better its service to the point where it can work with other services (including Google Assistant), the company is taking the position that it will continue to keep its service active but should face a much more aggressive cut.

But this seems a relatively slow move since the company announced its end of business plan just a couple of months ago.

Twi",
0c1030731db0,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,96,25.383211135864258,6.799001036500849,5.267352994489357e-12,1,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested."," Must not sign.

Bought from the seller a month ago. Has no interest in having the house sold yet. I'm 5'11/220, with a size small front yard. They are the best home they have ever built. The basement has a good yard. Has no problem installing a second floor loft. Must not complete any repairs to the subject property. Must not sign.

Very happy seller. The place is very nice. I am on a long and very good road. The floor is small and a lot of windows - it looks wonderful even without the windscre",
e3cabf1cb61f,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,97,24.831918716430664,8.099970605472826,2.7486234377919507e-16,1,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years," old and were updated to the latest Intel drivers for UL30. They were updated so that your old firmware would not work on the current version of UL30. If your old firmware is not 100% accurate that can prevent you from getting the correct drivers.

Rated 5 out of 5 by chavlcd from Best IPS panel I've tried Asus' IPS panel for about 14 years now. The UL30-I7T is actually slightly worse on IPS as the UL30VT only gives the IPS panel the usual brightness & contrast ratio in its IPS. The UL30 VT only",
5344111063aa,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,101,18.028003692626953,7.613508865259127,1.3337651084429705e-14,1,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it"," probably began as a bit of a slow trip down memory lane. It didn't start as a full-time game, or anything like that, for a while (it was only four or five months of our lives at this point). But it did make a difference, and once at a party in October 2013, for example.

How many games are there on the market for 2013? The list of the games that's coming from the PSN and other internet communities tends to be a little larger than you'd think. The PlayStation 4 came out at number six on the Play",
4ebe3be9f71e,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,67,16.393192291259766,7.758392910291326,4.300616371326197e-15,1,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS"," A SEASONAL (3, 6 & 8 year) ORDER OF TWO OR MORE. EITHER SIX LOCATION (3, 6, 7 & 8 year) FOR BUILDING OPTIMIZATIONS DOES NOT PROVIDE A PLACEMENT OR A SEASONAL OR REFUND. ALL PACKAGING IS SUBJECT TO CHANGE. ALL SALES ARE FINAL. NOTHING ABOUT RESULTS: ANY DAMAGE OR STUPIDITY (MAKING ANY THING SENT TO TO US) THAT YOU KEEPALIVE OR CANNOT BE USED TO DEVEL",
6fedf7f0a99d,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,77,18.24507713317871,5.252793231671496,7.490484324289021e-08,1,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and"," Karen Krause. Krause was a well-known aviation driver and air traffic control operator before he began his career as a passenger. His son Paul Krause worked in and off-airline for numerous airlines. Paul worked at US Airways and AARP.

In July 2002, Raffetta was placed on paid leave in connection with the fatal crash. He was found floating on the sea floor of his home at a depth of 5 feet (4.9 m) and was presumed dead.",
37ac4e124162,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,96,19.46518898010254,7.181324987175317,3.4519510777593274e-13,1,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a"," its Arab community, and its LGBTQ community, are organizing to educate the public about these and other issues. We see this as a catalyst for greater solidarity in the LGBTQ movement. More so, an act of solidarity that demands the elimination of American forces deployed on U.S. territory.

A letter to the National Day Committee of the Organization for Women of Colombia is also being circulated.

Organization and campaign resources for street activism are available on the organization's website:",
048f21a0bded,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,84,12.697794914245605,6.09043988098768,5.63004318543209e-10,1,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST. The Rams advanced to," the AFC Championship Game on Sunday, where they were 11-9.

Dante Fowler won for the Detroit Lions, the next two NFL teams to get past the San Diego Chargers. Ryan Fitzpatrick threw for 4,502 yards, the third-most in the history of an NFL team.

No. 2 QB Tom Brady is set to retire as a New England Patriot.

No. 2 quarterbacks that were on the field during the 2017 regular season.

Carrying the ball

A.J. Green has thrown for just 458 yards (1,215 TD",
d0b4bcca4bed,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,102,18.213977813720703,6.9937860618023535,1.337827367636153e-12,1,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the"," front row, and the entire midfield is represented by Jon Lue and Ed Woodward. The rest of the front six, meanwhile, can all be expected to be delighted with their new home. This is another good side, and I can understand why Newcastle fans are such happy.

This one is about to get pretty busy, especially for fans of Chelsea and Liverpool. We will see what happens from the front row, after all. And if you're wondering why the team went down to London to play here, well, no matter how good it loo",
27ba1d06f042,gpt2,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,101,21.910778045654297,7.187515381443754,3.299048559960776e-13,1,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more. The hotel"," nearly 20,000 square feet of rooms, 30 kitchens and 300 tables, including guest bedrooms, three gyms, an art gallery, an art gallery, an infinity ballroom and a second floor on the third floor on the fourth floor and a second in town. The hotel also offers many free overnight guests, including breakfast on the fifth floor and lunch and dinner the ninth floor along with food and wine on the 10th floor. Most trips involve paid packages such as flights and other small trips by private jet. Luxe's ",
