experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
0faf51d249d0,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,95,19.2,6.957,0.0,1,text," on tnf bogos is off, also the laces of these shoes don’t look fresh at all. The logo placement is off.
Ya the laces were real bad on them I took these pictures last week. Not sure how much they changed since then. Just looked and you can tell the heel cap is different because when I put them on I r",
3f5f971c5a73,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,21.02,7.5487,0.0,1,prompt,"o was great, my favorite part about all 3 of the games is the characters are pretty much the same except for maybe Ryu Hayabusa...  &nbsp;  but namco really ruined street fighter and with this they have failed..
You don't hate characters when playing in multi-player.
i hate mewtwo and tec-9...
Who a",
915de0266219,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,8,368.75,1.633,0.051235,0,source,"?
Looks like Zebra Rose",
16b63ce37e4d,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Synonym,edit_rate=0.3,101,-1,5.3072,0.0,1,text," on tnf bogos is off, also the laces of these shoes don’t look fresh at all. The logo placement is off.
Ya the laces were real bad on them I took these pictures last week. Not sure how much they changed since then. Just looked and you can tell the heel cap is different because when I put them on I r","on tumour necrosis factor bogos is off, also the laces of these shoes don’t aspect fresh astatine all. The logotype placement is off. Ya the laces were real bad on them Unity took these flick last week. Not sure how much they changed since then. Just looked and you can tell the heel cap is different"
3b8e7927ad4c,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Synonym,edit_rate=0.3,118,-1,4.271,1e-05,1,prompt,"o was great, my favorite part about all 3 of the games is the characters are pretty much the same except for maybe Ryu Hayabusa...  &nbsp;  but namco really ruined street fighter and with this they have failed..
You don't hate characters when playing in multi-player.
i hate mewtwo and tec-9...
Who a","o was great, my favorite character about all trio of the plot is the characters ar pretty much the Saami except for maybe Ryu Hayabusa... &nbsp; but namco really ruined street fighter and with this they have failed.. You don't hate characters when playacting inch multi-player. single hate mewtwo and"
4d4dffab144b,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Synonym,edit_rate=0.3,8,-1,0.0,0.5,0,source,"?
Looks like Zebra Rose",? Looks ilk Zebra Rose
f57acff2e9fe,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Swap,edit_rate=0.2,93,-1,4.982,0.0,1,text," on tnf bogos is off, also the laces of these shoes don’t look fresh at all. The logo placement is off.
Ya the laces were real bad on them I took these pictures last week. Not sure how much they changed since then. Just looked and you can tell the heel cap is different because when I put them on I r","on tnf bogos is off, also the laces of shoes these don’t look fresh at all. The logo placement is the off. Ya laces were real bad on them I took pictures these last week. Not sure how much they changed since then. Just looked and you can the tell heel cap is different because when I put them I on re"
2969bc289d85,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Swap,edit_rate=0.2,113,-1,3.7017,0.000107,1,prompt,"o was great, my favorite part about all 3 of the games is the characters are pretty much the same except for maybe Ryu Hayabusa...  &nbsp;  but namco really ruined street fighter and with this they have failed..
You don't hate characters when playing in multi-player.
i hate mewtwo and tec-9...
Who a","o was great, my part favorite about 3 all of the games is the characters are pretty much the same except for maybe Ryu Hayabusa... &nbsp; but namco ruined street really fighter and with they this have failed.. You don't hate when characters playing in multi-player. i hate mewtwo and tec-9... Who are"
0473e9b24b63,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Swap,edit_rate=0.2,7,-1,1.3416,0.089856,0,source,"?
Looks like Zebra Rose",? Looks Zebra like Rose
3434737d3a15,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Typo,edit_rate=0.1,97,-1,5.6299,0.0,1,text," on tnf bogos is off, also the laces of these shoes don’t look fresh at all. The logo placement is off.
Ya the laces were real bad on them I took these pictures last week. Not sure how much they changed since then. Just looked and you can tell the heel cap is different because when I put them on I r","on tnf bogos is off, also the laces of these shoes don’t look fresh at all. The logo placement is off. Ya the laces were real bad on them I took these pictures last week. Not sure how much they cahnged since then. Just looked and you can tell the heel cpa is different because when I put them on I re"
dfefa961fa89,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Typo,edit_rate=0.1,122,-1,5.8424,0.0,1,prompt,"o was great, my favorite part about all 3 of the games is the characters are pretty much the same except for maybe Ryu Hayabusa...  &nbsp;  but namco really ruined street fighter and with this they have failed..
You don't hate characters when playing in multi-player.
i hate mewtwo and tec-9...
Who a","o was great, my favorite part about all 3 of the games is the characters are pretty umch the same except for maybe Ryu Hayabusa... &nbsp; but namco really ruined street feighter and weth this they have failed.. You don't hate characters when playing in multi-player. i hate mewtwo and tec-9... Wha ar"
77b982399c83,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Typo,edit_rate=0.1,7,-1,1.3416,0.089856,0,source,"?
Looks like Zebra Rose",? Looks like Zebra Rose
