experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
d3152cf8d403,facebook/opt-1.3b,UNIGRAM,N/A (detection only),human_gold,Clean,N/A,225,8.81,-1.069,0.857475,0,,"Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago.
The decision comes after the company “paused investment in Allo” earlier this year, and brought its features to Messages — Google’s SMS-based messaging service for Android.
",
6122b108aab1,facebook/opt-1.3b,KGW,N/A (detection only),human_gold,Clean,N/A,225,8.81,0.9309,0.17594,0,,"Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago.
The decision comes after the company “paused investment in Allo” earlier this year, and brought its features to Messages — Google’s SMS-based messaging service for Android.
",
95ec4951cb27,facebook/opt-1.3b,GPW-SP,N/A (detection only),human_gold,Clean,N/A,225,8.81,1.1886,0.117303,0,,"Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago.
The decision comes after the company “paused investment in Allo” earlier this year, and brought its features to Messages — Google’s SMS-based messaging service for Android.
",
ec3f45c1de0a,facebook/opt-1.3b,UNIGRAM,N/A (detection only),human_gold,Clean,N/A,113,35.03,0.378,0.352728,0,,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested. The property is sold in AS IS condition. Offer must have earnest money as a Cashiers Check to the Listing Agency with ",
869a46125ae6,facebook/opt-1.3b,KGW,N/A (detection only),human_gold,Clean,N/A,113,35.03,0.4789,0.316,0,,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested. The property is sold in AS IS condition. Offer must have earnest money as a Cashiers Check to the Listing Agency with ",
cf0612aefd57,facebook/opt-1.3b,GPW-SP,N/A (detection only),human_gold,Clean,N/A,113,35.03,0.7769,0.218604,0,,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested. The property is sold in AS IS condition. Offer must have earnest money as a Cashiers Check to the Listing Agency with ",
f31fcffe75c7,facebook/opt-1.3b,UNIGRAM,N/A (detection only),human_gold,Clean,N/A,107,32.84,0.0,0.5,0,,"Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years behind and new features for both graphics chips have been released since then. I sent a message to Asus but no response was given.
Int",
99eab466016c,facebook/opt-1.3b,KGW,N/A (detection only),human_gold,Clean,N/A,107,32.84,-0.3961,0.653969,0,,"Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years behind and new features for both graphics chips have been released since then. I sent a message to Asus but no response was given.
Int",
113db1d34917,facebook/opt-1.3b,GPW-SP,N/A (detection only),human_gold,Clean,N/A,107,32.84,0.8748,0.190842,0,,"Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years behind and new features for both graphics chips have been released since then. I sent a message to Asus but no response was given.
Int",
67feb9a79d87,facebook/opt-1.3b,UNIGRAM,N/A (detection only),human_gold,Clean,N/A,131,32.84,0.5262,0.299363,0,,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it was Afro Samurai. Pow!
""...it was Afro Samurai. Pow!""
Damn you Lien. DAMN YOU.
Oh wait, I know! The blue ending to Mass Effect 3!
FIFA Worl",
99dd024ed647,facebook/opt-1.3b,KGW,N/A (detection only),human_gold,Clean,N/A,131,32.84,-1.1142,0.867397,0,,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it was Afro Samurai. Pow!
""...it was Afro Samurai. Pow!""
Damn you Lien. DAMN YOU.
Oh wait, I know! The blue ending to Mass Effect 3!
FIFA Worl",
