sample_id,prompt,original_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
0,Google has announced that it will be shutting down its smart-messaging service Allo which it launche," this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the service is winding down.

Allo, a version of Mess","this product,” a for spokeswoman the company said in an email to the AP. did She not disclose any reasons behind the shutdown, but explained that the service is winding down. Allo, a version of create",5.294651389216606,4.642383454426297,True,True,120,3.2258598804473877,0.0014400482177734375,0.0005323886871337891
1,Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will no," The property needs paint, interior and exterior carpet and floor, some interior painting and light fixtures.

School Information

Description

Two bedrooms home on a corner lot. Two car detached gara","The property needs paint, interior and exterior carpet and floor, some interior painting light and fixtures. School Description Information Two bedrooms home on a corner lot. Two car garage. detached ",3.468909530866052,2.47900273203854,False,False,120,2.864482879638672,0.0012621879577636719,0.0005030632019042969
2,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The onl," back. I have a ASUS XG270HK and am looking forward to installing the latest display drivers with a usb driver.   Thanks.
Sadly I have not seen any updates on that front. I've tried asking the XG user",back. I have a ASUS XG270HK and am looking forward to the installing latest display drivers with a usb driver. Thanks. Sadly I have not seen any updates on that front. I've tried asking the XG users o,6.691899028305943,5.926541470816662,True,True,119,2.8840699195861816,0.0010328292846679688,0.00048470497131347656
3,Do you remember the game from this fragment of box art? Leave your answer in the comments! For those," was a sequel to The Godfather Part I.

Advertisement

Back in 2005, The Godfather Part I beat The Godfather Part II into first place on the Best Seller list. The next year, The Godfather Part I was r","was a sequel Godfather to The Part I. Advertisement Back in 2005, The Godfather Part I beat The Godfather Part II into first place on the Best Seller list. The next year, The Godfather Part I was reis",8.580986734247602,8.241955141918908,True,True,120,2.8828721046447754,0.0012619495391845703,0.00048065185546875
4,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN "," PART OF AN INTERSECTION.

LOT #1

PRICE $5,000.00

RIGHT TO RENEW. This section is already being worked on and will have 4 lots. Buyer will have the right to renew.

LOT #2

PRICE $1,000.00

PRIVATE ","PART OF AN INTERSECTION. LOT #1 PRICE $5,000.00 RIGHT TO RENEW. section This is already being worked on and will have 4 lots. Buyer will have the to right LOT renew. #2 PRICE $1,000.00 PRIVATE TO BUY.",7.12039324756716,4.6,True,True,120,3.0198991298675537,0.000789642333984375,0.0004305839538574219
5,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born i"," Adele Krause.
In lieu of flowers, donations may be made in Bob's name to Heartland Hospice.
Funeral arrangements are in the care of Konecranes Kapahulu Chapel.","Adele Krause. In lieu of flowers, donations may be made in Bob's name to Heartland Hospice. arrangements Funeral are in the care of Konecranes Kapahulu Chapel.",2.7136021011998728,1.543033499620919,False,False,44,0.9892487525939941,0.0007052421569824219,0.0003209114074707031
6,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. "," labor, student, and Palestinian groups, are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights in an Occu","labor, student, and groups, Palestinian are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Rights Palestinian in an Occup",7.6681158050723255,7.363636363636363,True,True,120,3.015773057937622,0.0011963844299316406,0.00043892860412597656
7,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The ," the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon.

For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a video of Tom Bra","the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon. For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a of video Tom Brady",5.8423739467217715,5.385164807134505,True,True,120,2.9248878955841064,0.0011417865753173828,0.000499725341796875
8,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything"," hotseat.

Listen below - and for a full, unproduced script, please follow the instruction provided on your welcome packet.

Show Notes:

This podcast episode was filmed back in December. The above li","Listen hotseat. below - and for a full, unproduced script, please follow the instruction provided on your welcome packet. Show This Notes: podcast episode was filmed back in December. The above links ",9.128709291752768,8.158801243801019,True,True,120,2.959137201309204,0.0010256767272949219,0.00048732757568359375
9,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking t"," a private helicopter with a driver that will take guests around Dubai.

The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and steam room. It a","a private helicopter with a driver that will take guests around Dubai. The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and steam It room. als",7.850689990907381,6.800566625070174,True,True,120,2.983214855194092,0.0011320114135742188,0.00045299530029296875
